107 107
1 1 1
2 4 1
3 4 1
1 6 1
1 9 1
1 10 1
1 11 1
2 11 1
4 11 1
6 11 1
7 13 1
9 13 1
9 14 1
10 14 1
11 14 1
12 15 1
11 16 1
15 15 1
16 17 1
16 18 1
14 17 1
13 17 1
12 17 1
10 18 1
6 20 1
5 20 1
4 20 1
2 19 1
3 19 1
4 19 1
2 22 1
2 23 1
1 25 1
2 25 1
3 25 1
1 28 1
5 29 1
6 29 1
7 30 1
11 30 1
11 29 1
10 29 1
2 30 1
1 30 1
6 28 1
6 26 1
2 24 1
10 19 1
11 19 1
14 22 1
16 22 1
22 25 1
21 27 1
19 28 1
20 29 1
25 30 1
26 30 1
27 30 1
28 30 1
24 29 1
25 29 1
27 29 1
28 26 1
27 18 1
25 15 1
24 15 1
22 14 1
27 15 1
27 14 1
29 23 1
22 22 1
21 22 1
20 22 1
19 22 1
18 20 1
12 12 1
13 11 1
12 8 1
27 12 1
21 10 1
20 9 1
21 9 1
24 8 1
27 8 1
27 9 1
29 3 1
17 3 1
23 2 1
29 2 1
26 1 1
27 1 1
29 1 1
10 6 1
8 6 1
10 7 1
10 9 1
12 5 1
6 8 1
4 10 1
2 13 1
2 14 1
1 14 1
3 16 1
2 16 1
1 16 1
2 17 1
1 17 1
