431 431
1 1 1
2 3 1
1 3 1
4 6 1
3 6 1
2 6 1
1 6 1
5 6 1
2 9 1
1 9 1
1 11 1
2 12 1
1 14 1
2 15 1
1 16 1
1 17 1
2 17 1
5 15 1
8 14 1
11 14 1
8 10 1
7 12 1
11 10 1
13 20 1
7 22 1
6 22 1
9 22 1
4 21 1
4 19 1
6 26 1
7 27 1
1 29 1
2 30 1
1 30 1
9 29 1
11 29 1
12 29 1
15 30 1
14 33 1
16 33 1
17 32 1
21 33 1
26 34 1
26 35 1
24 35 1
23 35 1
22 35 1
22 36 1
23 36 1
26 36 1
18 34 1
17 34 1
24 39 1
25 39 1
28 39 1
32 41 1
30 41 1
30 42 1
30 43 1
33 44 1
28 38 1
24 38 1
20 40 1
24 44 1
29 47 1
30 51 1
33 51 1
31 52 1
32 54 1
32 55 1
38 51 1
36 48 1
41 47 1
38 46 1
45 50 1
46 50 1
48 48 1
50 48 1
51 51 1
54 51 1
54 47 1
55 47 1
57 39 1
58 38 1
53 39 1
52 39 1
54 35 1
51 33 1
49 32 1
50 32 1
51 32 1
51 30 1
47 25 1
41 23 1
39 23 1
41 24 1
37 21 1
35 21 1
35 20 1
39 19 1
41 19 1
40 18 1
41 18 1
40 22 1
44 20 1
45 20 1
46 20 1
47 20 1
49 20 1
51 20 1
52 20 1
43 25 1
36 26 1
35 26 1
34 26 1
37 24 1
35 28 1
34 28 1
45 32 1
47 21 1
48 22 1
49 22 1
49 23 1
47 24 1
52 24 1
53 24 1
52 25 1
58 36 1
56 34 1
59 29 1
50 47 1
47 43 1
45 48 1
49 53 1
47 53 1
38 58 1
33 58 1
37 57 1
36 62 1
38 65 1
40 69 1
42 69 1
35 69 1
34 68 1
33 68 1
37 70 1
27 64 1
24 64 1
23 67 1
22 70 1
22 64 1
22 63 1
27 66 1
28 66 1
26 70 1
27 70 1
29 69 1
28 63 1
22 61 1
16 60 1
13 62 1
12 62 1
14 61 1
13 61 1
13 58 1
10 55 1
1 49 1
4 47 1
6 47 1
5 49 1
8 49 1
4 45 1
1 46 1
2 44 1
1 44 1
1 41 1
1 40 1
2 40 1
3 40 1
4 39 1
2 39 1
1 39 1
1 36 1
4 35 1
4 34 1
3 37 1
4 38 1
1 47 1
1 53 1
1 56 1
3 58 1
9 50 1
12 49 1
17 49 1
17 50 1
13 52 1
17 54 1
18 54 1
19 54 1
17 56 1
4 59 1
3 59 1
2 59 1
1 61 1
1 64 1
1 60 1
3 66 1
5 65 1
7 63 1
8 62 1
9 62 1
5 68 1
3 68 1
2 69 1
2 70 1
3 70 1
6 70 1
12 70 1
4 69 1
12 68 1
12 66 1
16 67 1
15 66 1
16 64 1
17 64 1
17 65 1
16 63 1
20 56 1
24 56 1
23 53 1
20 52 1
20 51 1
20 47 1
19 46 1
23 48 1
23 46 1
27 55 1
29 57 1
22 59 1
29 58 1
30 67 1
41 70 1
42 70 1
44 70 1
45 70 1
42 68 1
45 67 1
44 64 1
45 63 1
48 68 1
49 68 1
51 70 1
52 70 1
53 69 1
58 70 1
59 68 1
56 67 1
55 66 1
53 68 1
52 68 1
49 63 1
51 65 1
47 58 1
46 58 1
46 59 1
49 57 1
54 55 1
55 55 1
54 56 1
56 57 1
57 58 1
59 58 1
59 51 1
59 52 1
59 50 1
58 48 1
59 48 1
52 61 1
59 65 1
59 61 1
59 60 1
59 59 1
42 45 1
39 45 1
38 45 1
34 46 1
20 30 1
17 28 1
17 27 1
16 27 1
22 28 1
22 29 1
13 26 1
16 26 1
4 33 1
10 34 1
14 44 1
8 43 1
12 43 1
17 39 1
16 37 1
10 32 1
10 28 1
12 25 1
13 25 1
15 24 1
17 23 1
14 23 1
14 22 1
11 24 1
10 16 1
19 19 1
21 6 1
23 3 1
25 5 1
28 9 1
25 10 1
25 11 1
27 13 1
28 14 1
27 14 1
27 15 1
30 17 1
31 20 1
28 20 1
31 29 1
30 29 1
34 31 1
27 32 1
27 27 1
20 25 1
21 26 1
22 21 1
25 17 1
26 17 1
26 16 1
24 15 1
24 12 1
31 35 1
28 34 1
39 35 1
38 35 1
35 34 1
34 34 1
34 35 1
35 36 1
34 36 1
33 36 1
45 41 1
43 42 1
45 43 1
42 43 1
39 43 1
40 42 1
42 39 1
32 24 1
32 23 1
35 15 1
34 15 1
33 15 1
41 16 1
33 16 1
32 10 1
32 8 1
31 8 1
38 14 1
41 8 1
45 8 1
43 7 1
35 6 1
30 4 1
30 1 1
29 3 1
27 1 1
36 1 1
38 3 1
38 2 1
41 6 1
42 6 1
41 4 1
45 1 1
46 1 1
45 3 1
46 5 1
47 5 1
51 1 1
50 1 1
53 2 1
53 5 1
52 7 1
51 8 1
47 9 1
46 9 1
52 13 1
53 14 1
56 15 1
56 17 1
57 18 1
59 19 1
59 21 1
59 15 1
51 17 1
48 16 1
48 18 1
42 11 1
43 11 1
43 9 1
58 23 1
59 23 1
58 22 1
59 22 1
59 12 1
58 10 1
58 9 1
59 7 1
59 5 1
58 4 1
56 7 1
56 3 1
56 1 1
55 1 1
25 2 1
24 1 1
23 2 1
13 11 1
17 1 1
13 2 1
11 4 1
8 9 1
8 8 1
12 7 1
