209 209
1 1 1
2 1 1
5 1 1
7 1 1
7 3 1
8 4 1
7 4 1
13 4 1
16 3 1
20 2 1
22 2 1
21 1 1
22 1 1
23 1 1
24 1 1
32 3 1
32 5 1
35 6 1
35 10 1
32 14 1
32 15 1
35 16 1
39 16 1
40 16 1
41 17 1
39 20 1
44 19 1
45 19 1
46 20 1
44 23 1
45 24 1
47 25 1
48 28 1
49 32 1
47 35 1
45 37 1
46 33 1
46 34 1
49 31 1
39 27 1
41 23 1
39 22 1
39 21 1
38 21 1
40 28 1
36 30 1
37 28 1
34 29 1
30 27 1
33 26 1
35 26 1
31 24 1
30 26 1
30 23 1
31 22 1
23 28 1
25 29 1
19 30 1
19 29 1
23 26 1
26 23 1
21 19 1
22 21 1
22 22 1
21 18 1
9 29 1
7 29 1
8 33 1
8 35 1
7 37 1
8 36 1
4 37 1
2 36 1
3 31 1
1 30 1
2 30 1
1 29 1
2 24 1
2 21 1
6 22 1
18 35 1
20 35 1
23 36 1
26 36 1
27 36 1
29 36 1
29 37 1
28 37 1
27 37 1
27 38 1
26 38 1
26 40 1
30 38 1
31 39 1
32 39 1
31 40 1
31 37 1
31 36 1
33 35 1
28 33 1
26 32 1
21 38 1
20 39 1
1 40 1
2 39 1
5 39 1
7 39 1
15 39 1
19 36 1
20 32 1
21 32 1
12 21 1
11 20 1
10 19 1
9 18 1
8 18 1
7 18 1
7 17 1
6 16 1
9 16 1
11 15 1
13 19 1
8 19 1
5 20 1
4 20 1
3 20 1
15 22 1
16 22 1
16 18 1
18 16 1
17 14 1
16 14 1
14 13 1
17 12 1
17 24 1
18 24 1
17 25 1
36 33 1
38 33 1
37 39 1
38 40 1
40 39 1
47 14 1
47 13 1
46 13 1
43 12 1
43 10 1
44 9 1
44 8 1
45 7 1
46 7 1
46 6 1
48 5 1
49 4 1
49 3 1
49 2 1
49 7 1
46 2 1
46 1 1
44 1 1
40 1 1
43 2 1
48 8 1
49 8 1
39 13 1
40 14 1
39 14 1
41 14 1
30 9 1
33 13 1
38 11 1
38 9 1
40 8 1
38 3 1
15 2 1
12 2 1
11 1 1
10 1 1
11 7 1
7 7 1
5 7 1
2 6 1
1 6 1
2 7 1
1 7 1
2 8 1
3 9 1
1 9 1
3 5 1
5 8 1
18 8 1
9 9 1
1 11 1
1 14 1
2 16 1
1 16 1
1 17 1
19 10 1
18 5 1
21 7 1
22 7 1
25 6 1
26 14 1
30 20 1
32 21 1
35 22 1
25 11 1
17 4 1
2 4 1
