1077 1077
1 1 1
2 1 1
4 1 1
5 1 1
7 2 1
6 2 1
6 4 1
7 4 1
6 5 1
3 6 1
1 6 1
2 8 1
2 9 1
1 9 1
1 10 1
6 10 1
7 10 1
8 10 1
2 11 1
1 11 1
4 14 1
4 15 1
2 15 1
1 16 1
3 16 1
4 16 1
5 16 1
6 16 1
4 18 1
8 19 1
9 21 1
12 27 1
12 29 1
12 31 1
15 32 1
16 32 1
16 33 1
16 34 1
16 35 1
17 36 1
18 36 1
19 36 1
19 37 1
18 38 1
18 35 1
18 33 1
10 31 1
10 32 1
14 30 1
19 28 1
20 28 1
21 28 1
22 29 1
21 29 1
20 29 1
22 26 1
34 35 1
32 38 1
24 38 1
21 34 1
17 39 1
23 42 1
25 42 1
26 44 1
24 46 1
24 45 1
26 47 1
27 47 1
31 47 1
31 48 1
30 49 1
27 49 1
27 48 1
32 50 1
32 51 1
30 51 1
29 51 1
34 51 1
27 55 1
30 57 1
31 57 1
38 57 1
39 57 1
40 56 1
44 53 1
45 52 1
43 51 1
42 51 1
41 51 1
41 49 1
42 48 1
43 48 1
44 48 1
45 48 1
45 47 1
45 54 1
45 55 1
44 55 1
39 52 1
37 52 1
40 60 1
43 63 1
46 63 1
40 63 1
39 67 1
36 67 1
39 70 1
42 71 1
43 71 1
42 72 1
29 65 1
29 70 1
21 71 1
21 73 1
24 72 1
27 72 1
26 75 1
33 78 1
34 78 1
35 78 1
30 78 1
30 79 1
33 81 1
35 79 1
23 76 1
23 78 1
23 81 1
20 84 1
19 84 1
14 84 1
13 86 1
12 83 1
11 83 1
17 88 1
18 89 1
20 88 1
18 86 1
21 87 1
20 86 1
29 82 1
33 87 1
34 87 1
31 88 1
32 92 1
33 92 1
34 92 1
28 92 1
28 91 1
28 88 1
25 87 1
22 90 1
24 92 1
24 93 1
26 86 1
23 99 1
11 95 1
8 96 1
5 97 1
3 98 1
2 98 1
2 99 1
5 93 1
7 93 1
7 92 1
4 99 1
6 99 1
7 99 1
5 100 1
1 100 1
15 99 1
15 100 1
7 88 1
5 85 1
3 84 1
1 85 1
1 82 1
1 79 1
2 79 1
6 80 1
9 72 1
9 71 1
6 68 1
2 68 1
2 67 1
3 65 1
1 64 1
5 64 1
5 63 1
6 62 1
5 61 1
1 60 1
2 61 1
4 59 1
6 57 1
6 56 1
5 55 1
4 55 1
4 57 1
3 57 1
2 57 1
3 69 1
4 72 1
1 73 1
3 76 1
2 76 1
1 76 1
2 77 1
3 77 1
8 66 1
10 64 1
10 63 1
15 68 1
17 69 1
18 66 1
14 77 1
14 81 1
14 76 1
15 76 1
10 76 1
10 78 1
10 80 1
9 82 1
7 87 1
21 81 1
20 63 1
23 56 1
22 55 1
22 54 1
19 54 1
19 53 1
19 52 1
19 48 1
20 48 1
19 47 1
19 46 1
17 45 1
20 55 1
19 55 1
18 55 1
17 55 1
11 59 1
12 56 1
15 56 1
17 56 1
12 55 1
13 55 1
11 54 1
12 54 1
13 57 1
14 57 1
15 61 1
16 61 1
17 63 1
11 87 1
18 99 1
17 100 1
20 100 1
21 100 1
22 100 1
22 95 1
27 96 1
30 100 1
31 100 1
33 100 1
43 91 1
45 93 1
44 94 1
42 95 1
47 96 1
48 96 1
43 98 1
48 99 1
48 100 1
45 100 1
40 100 1
53 99 1
58 100 1
59 100 1
59 98 1
66 99 1
67 99 1
70 100 1
72 99 1
71 97 1
69 97 1
68 97 1
68 96 1
69 96 1
70 96 1
70 95 1
77 94 1
76 92 1
74 91 1
74 90 1
73 90 1
75 89 1
78 88 1
78 90 1
83 90 1
84 90 1
89 90 1
84 94 1
85 95 1
84 97 1
85 98 1
83 100 1
84 100 1
88 100 1
89 100 1
91 100 1
91 93 1
90 92 1
94 94 1
95 94 1
99 99 1
89 85 1
86 83 1
87 82 1
88 82 1
92 82 1
92 81 1
95 81 1
93 79 1
90 78 1
88 78 1
87 78 1
88 79 1
87 79 1
88 77 1
87 77 1
91 76 1
93 74 1
94 74 1
85 72 1
84 72 1
79 71 1
79 72 1
77 72 1
78 73 1
75 75 1
74 75 1
73 76 1
74 76 1
