641 641
1 1 1
3 1 1
4 1 1
5 1 1
6 1 1
6 2 1
4 4 1
1 3 1
7 4 1
8 4 1
11 1 1
2 5 1
1 6 1
1 7 1
1 9 1
3 8 1
4 7 1
5 9 1
9 11 1
9 12 1
9 14 1
10 14 1
13 19 1
15 19 1
16 20 1
17 21 1
19 21 1
20 21 1
26 19 1
27 19 1
29 24 1
32 24 1
39 25 1
40 25 1
40 26 1
40 28 1
39 29 1
39 31 1
40 31 1
42 31 1
42 32 1
42 33 1
38 36 1
34 32 1
32 27 1
27 28 1
26 28 1
25 28 1
26 27 1
27 27 1
26 26 1
26 25 1
30 26 1
31 26 1
30 25 1
27 29 1
26 29 1
27 30 1
32 32 1
30 38 1
30 36 1
29 36 1
31 39 1
30 39 1
29 40 1
29 41 1
27 42 1
28 42 1
31 42 1
32 42 1
30 44 1
38 40 1
39 40 1
41 46 1
44 49 1
44 51 1
45 52 1
47 48 1
37 53 1
34 53 1
35 52 1
39 50 1
46 54 1
46 55 1
47 55 1
55 54 1
56 54 1
57 54 1
56 50 1
59 50 1
60 50 1
64 53 1
65 53 1
65 48 1
58 44 1
58 42 1
54 41 1
53 41 1
56 41 1
55 38 1
54 38 1
54 37 1
54 36 1
54 35 1
55 35 1
57 35 1
53 42 1
55 46 1
55 47 1
56 48 1
56 46 1
62 42 1
63 42 1
63 44 1
64 44 1
66 44 1
65 43 1
66 43 1
67 43 1
67 42 1
68 42 1
60 41 1
68 49 1
58 49 1
56 52 1
57 58 1
58 58 1
59 58 1
60 58 1
61 58 1
60 60 1
58 60 1
56 60 1
53 55 1
52 57 1
53 59 1
52 60 1
46 63 1
45 63 1
47 63 1
47 64 1
47 65 1
48 61 1
52 62 1
50 63 1
50 65 1
51 67 1
49 67 1
55 65 1
56 68 1
58 64 1
59 64 1
59 63 1
60 66 1
61 66 1
65 66 1
66 70 1
67 70 1
67 72 1
62 71 1
60 71 1
64 73 1
64 74 1
63 74 1
63 75 1
64 76 1
56 76 1
54 76 1
57 74 1
58 76 1
61 79 1
53 79 1
68 79 1
67 73 1
69 75 1
56 71 1
53 73 1
52 74 1
53 74 1
54 74 1
54 75 1
53 75 1
50 71 1
48 72 1
49 75 1
41 79 1
33 79 1
31 80 1
30 79 1
36 77 1
41 77 1
43 77 1
43 80 1
44 80 1
45 80 1
48 80 1
44 71 1
43 71 1
45 70 1
47 69 1
39 62 1
40 62 1
34 60 1
37 59 1
38 60 1
29 52 1
21 52 1
15 54 1
14 55 1
18 57 1
15 61 1
11 66 1
12 67 1
11 72 1
12 72 1
